iter	Passed	Remaining
583	2652	1889
584	2656	1884
585	2660	1879
586	2664	1874
587	2668	1869
588	2672	1864
589	2676	1860
590	2680	1854
591	2683	1849
592	2688	1845
593	2692	1840
594	2695	1834
595	2699	1829
596	2704	1825
597	2708	1820
598	2712	1815
599	2716	1810
600	2720	1806
601	2724	1801
602	2727	1796
603	2731	1791
604	2736	1786
605	2739	1781
606	2743	1776
607	2747	1771
608	2752	1766
609	2755	1761
610	2759	1756
611	2763	1751
612	2767	1747
613	2771	1742
614	2775	1737
615	2780	1733
616	2784	1728
617	2788	1723
618	2792	1718
619	2795	1713
620	2800	1709
621	2803	1703
622	2807	1699
623	2811	1694
624	2815	1689
625	2820	1685
626	2824	1680
627	2827	1675
628	2832	1670
629	2835	1665
630	2839	1660
631	2843	1655
632	2847	1650
633	2851	1646
634	2854	1640
635	2858	1636
636	2862	1631
637	2866	1626
638	2870	1621
639	2873	1616
640	2878	1611
641	2882	1607
642	2886	1602
643	2890	1597
644	2894	1593
645	2898	1588
646	2903	1583
647	2907	1579
648	2913	1575
649	2918	1571
650	2922	1566
651	2927	1562
652	2931	1557
653	2935	1552
654	2939	1548
655	2943	1543
656	2947	1538
657	2951	1534
658	2956	1529
659	2960	1525
660	2964	1520
661	2968	1515
662	2972	1510
663	2976	1506
664	2980	1501
665	2984	1496
666	2988	1491
667	2992	1487
668	2996	1482
669	3000	1477
670	3004	1473
671	3009	1468
672	3013	1464
673	3017	1459
674	3021	1454
675	3025	1450
676	3029	1445
677	3033	1440
678	3038	1436
679	3042	1431
680	3046	1427
681	3050	1422
682	3055	1417
683	3059	1413
684	3062	1408
685	3066	1403
686	3070	1399
687	3074	1394
688	3078	1389
689	3082	1385
690	3087	1380
691	3091	1376
692	3095	1371
693	3099	1366
694	3104	1362
695	3107	1357
696	3111	1352
697	3116	1348
698	3120	1343
699	3124	1339
700	3128	1334
701	3133	1330
702	3137	1325
703	3141	1320
704	3145	1316
705	3150	1311
706	3154	1307
707	3158	1302
708	3163	1298
709	3166	1293
710	3170	1288
711	3174	1283
712	3179	1279
713	3183	1275
714	3187	1270
715	3191	1265
716	3196	1261
717	3200	1256
718	3205	1252
719	3209	1247
720	3213	1243
721	3217	1239
722	3222	1234
723	3226	1230
724	3230	1225
725	3234	1220
726	3238	1216
727	3243	1211
728	3247	1207
729	3251	1202
730	3255	1197
731	3260	1193
732	3264	1189
733	3268	1184
734	3272	1179
735	3277	1175
736	3281	1170
737	3285	1166
738	3289	1161
739	3293	1157
740	3297	1152
741	3301	1148
742	3306	1143
743	3310	1139
744	3315	1134
745	3319	1130
746	3323	1125
747	3327	1121
748	3331	1116
749	3335	1111
750	3340	1107
751	3344	1102
752	3348	1098
753	3353	1094
754	3357	1089
755	3361	1084
756	3365	1080
757	3369	1075
758	3373	1071
759	3377	1066
760	3380	1061
761	3384	1057
762	3388	1052
763	3392	1047
764	3396	1043
765	3400	1038
766	3404	1034
767	3407	1029
768	3411	1024
769	3415	1020
770	3419	1015
771	3423	1011
772	3427	1006
773	3431	1001
774	3435	997
775	3439	992
776	3443	988
777	3448	983
778	3452	979
779	3457	975
780	3461	970
781	3478	969
782	3483	965
783	3488	961
784	3494	957
785	3500	952
786	3505	948
787	3510	944
788	3516	940
789	3521	935
790	3525	931
791	3532	927
792	3538	923
793	3543	919
794	3548	914
795	3553	910
796	3558	906
797	3563	902
798	3568	897
799	3574	893
800	3579	889
801	3584	885
802	3589	880
803	3594	876
804	3598	871
805	3602	867
806	3607	862
807	3611	858
808	3616	853
809	3620	849
810	3626	845
811	3632	840
812	3636	836
813	3644	832
814	3649	828
815	3655	824
816	3659	819
817	3664	815
818	3668	810
819	3673	806
820	3677	801
821	3682	797
822	3685	792
823	3690	788
824	3694	783
825	3698	779
826	3702	774
827	3706	769
828	3709	765
829	3714	760
830	3718	756
831	3726	752
832	3730	747
833	3735	743
834	3738	738
835	3742	734
836	3746	729
837	3750	724
838	3754	720
839	3758	715
840	3762	711
841	3766	706
842	3770	702
843	3774	697
844	3777	692
845	3781	688
846	3786	684
847	3790	679
848	3794	674
849	3798	670
850	3802	665
851	3806	661
852	3810	656
853	3814	652
854	3818	647
855	3822	642
856	3825	638
857	3830	633
858	3835	629
859	3839	624
860	3843	620
861	3848	616
862	3852	611
863	3856	607
864	3860	602
865	3864	597
866	3868	593
867	3872	588
868	3876	584
869	3881	579
870	3885	575
871	3890	571
872	3894	566
873	3898	562
874	3902	557
875	3907	553
876	3911	548
877	3915	544
878	3919	539
879	3923	534
880	3927	530
881	3931	526
882	3935	521
883	3939	517
884	3943	512
885	3947	507
886	3951	503
887	3955	498
888	3959	494
889	3963	489
890	3967	485
